,grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,shapefile_code,r2,NaNs
197,3624400,3,3241,RIO TEFE,ESTIRAO DA SANTA CRUZ,BR,-4.2922,-65.2017,13708,-999,1981,2020,40,19.52592799,,,,,1981,2020,40,554.398,17.48349533,1275.42277,2,0.507736138,0
198,3624500,3,3241,RIO COARI,SERINGAL MOREIRA,BR,-5.1092,-63.9847,8078,-999,1980,2020,41,14.22840147,,,,,1980,2020,41,283.234,8.932067424,1105.727584,2,0.366499336,0
199,3625000,3,3251,AMAZON RIVER,ITAPEUA,BR,-4.0578,-63.0278,1769000,40,1971,2020,50,2.825904121,,,,,1971,2020,50,87885.833,2771.567629,1566.742583,2,0.31515969,3
200,3626000,3,3261,AMAZON RIVER,MANACAPURU,BR,-3.3106,-60.6094,2147736,-999,1972,2020,49,0.39858786,,,,,1972,2020,49,102438.03,3230.485714,1504.135384,2,0.03462539,1
201,3628300,3,3281,RIO NHAMUNDA,MINERACAO CAIMA,BR,-1.4381,-57.8269,10615,-999,1981,2019,39,44.2838929,,,,,1981,2019,39,295.168,9.308418048,876.9117332,2,0.018880306,0
202,3628701,3,3281,RIO SUCUNDURI,SANTAREM SUCUNDURI,BR,-6.7956,-59.0422,12700,49,1975,2019,45,0.362965241,1973,1984,12,10.07751938,1973,2019,47,453.451,14.30003074,1125.986672,2,0.207658866,0
203,3629001,3,3291,AMAZON RIVER,OBIDOS - LINIGRAFO,BR,-1.9192,-55.5131,4680000,37,1968,2020,53,2.02901598,,,,,1968,2020,53,168384.561,5310.175516,1134.652888,1,0.339161993,0
204,3630100,3,3301,RIO CURUA,BOCA DO INFERNO,BR,-1.50306,-54.87278,20803,-999,1973,2019,47,0.005875095,1973,1994,22,1.53256705,1973,2019,47,168.38,5.31003168,255.2531693,2,0.400360094,0
205,3630300,3,3301,RIO MAICURU,ARAPARI,BR,-1.7789,-54.3972,17072,-999,1972,2020,49,0,1972,1998,27,0,1972,2020,49,143.046,4.511098656,264.239612,2,0.563293475,0
206,3632400,3,3321,RIO JAVARI,ESTIRAO DO REPOUSO,BR,-4.3408,-70.9056,62105,89,1980,2020,41,2.777967374,1980,1993,14,1.342281879,1980,2020,41,2636.123,83.13277493,1338.584251,2,0.538077732,0
207,3632401,3,3321,RIO JAVARI,PALMEIRAS DO JAVARI,BR,-5.1389,-72.8136,16256,142,1982,2020,39,5.094162638,,,,,1982,2020,39,633.853,19.98918821,1229.649865,2,0.346639195,1
208,3632450,3,3321,RIO CURUCA,SANTA MARIA,BR,-4.5794,-71.4131,24351,114,1980,2020,41,37.1921525,,,,,1980,2020,41,975.235,30.75501096,1262.987596,2,0.7757415,0
209,3633120,3,3331,RIO YURUA,GAVIAO,BR,-4.8392,-66.8506,162000,-999,1972,2020,49,6.169402943,1972,1993,22,0,1972,2020,49,4703.792,148.3387845,915.6715093,2,0.234633839,1
210,3633121,3,3331,RIO YURUA,SANTOS DUMONT,BR,-6.4403,-68.2461,142234,-999,1981,2020,40,4.491413474,,,,,1981,2020,40,4194.425,132.2753868,929.9842991,2,0.305820607,0
211,3633122,3,3331,RIO YURUA,EIRUNEPE-MONTANE,BR,-6.6844,-69.8811,77136,-999,1979,2019,41,9.019634122,,,,,1979,2019,41,1774.938,55.97444477,725.6591574,2,0.865467911,1
212,3633123,3,3331,RIO YURUA,IPIXUNA,BR,-7.0556,-71.6892,55806,-999,1981,2019,39,4.733939698,,,,,1981,2019,39,1377.233,43.43241989,778.2750939,2,0.816214062,0
213,3633160,3,3331,RIO YURUA,CRUZEIRO DO SUL,BR,-7.6331,-72.6617,38537,-999,1967,2020,54,6.557547957,1967,1993,27,0,1967,2020,54,933.618,29.44257725,764.0080247,2,0.684154198,0
214,3633180,3,3331,RIO YURUA,TAUMATURGO,BR,-8.9344,-72.7892,16581,-999,1981,2019,39,8.489830629,1981,1993,13,0,1981,2019,39,415.419,13.10065358,790.1003307,2,0.569192745,0
215,3633190,3,3331,RIO YURUA,FOZ DO BREU,BR,-9.4097,-72.7158,10446,-999,1982,2019,38,6.257767381,1982,1992,11,6.349206349,1982,2019,38,173.148,5.460395328,522.7259552,2,0.199440341,1
216,3633301,3,3331,RIO TARAUACA,TARAUCA-JUSANTE,BR,-8.1458,-70.7153,16050,-999,1967,2020,54,20.48029235,,,,,1967,2020,54,627.718,19.79571485,1233.377872,2,0.834198609,0
217,3634100,3,3341,RIO ACRE,BRASILEIA,BR,-10.9997,-68.7617,6712,-999,1982,2020,39,22.94459179,1982,1993,12,0,1982,2020,39,132.672,4.183944192,623.3528296,2,0.011364929,4
218,3634140,3,3341,RIO ACRE,XAPURI,BR,-10.6514,-68.5061,7579.4,-999,1967,2020,54,10.33470649,,,,,1967,2020,54,206.57,6.51439152,859.4864396,2,0.07659807,4
219,3634150,3,3341,RIO ACRE,RIO BRANCO,BR,-9.975,-67.8008,22670,-999,1967,2020,54,3.085561222,1967,1993,27,3.93442623,1967,2020,54,377.414,11.9021279,525.0166698,2,0.8186259,0
220,3634160,3,3341,RIO ACRE,FLORIANO PEIXOTO,BR,-9.0667,-67.3969,33469,-999,1967,2020,54,9.851959967,,,,,1967,2020,54,642.757,20.26998475,605.6346097,2,0.840239879,0
221,3634200,3,3341,RIO PAUINI,FAZENDA BORANGABA,BR,-7.55,-67.55,23365,-999,1984,2020,37,21.53654356,1985,1993,9,14.42307692,1984,2020,37,816.884,25.76125382,1102.557407,2,0.79660786,0
222,3634320,3,3341,RIO PURUS,CANUTAMA,BR,-6.5375,-64.3839,230012,-999,1973,2019,47,1.056317479,,,,,1973,2019,47,6410.493,202.1613072,878.9163489,2,0.783884721,1
223,3634340,3,3341,RIO PURUS,LABREA,BR,-7.2581,-64.7975,226351,60,1931,2019,89,6.414437921,1967,1993,27,0.325732899,1931,2019,89,5246.403,165.450565,730.9469143,2,0.904313697,3
224,3634350,3,3341,RIO PURUS,SERINGAL FORTALEZA,BR,-7.7156,-66.9997,153016,-999,1967,2020,54,0.494946337,,,,,1967,2020,54,3861.449,121.7746557,795.8295581,2,0.461137294,0
225,3634360,3,3341,RIO PURUS,VALPARAISO-MONTANTE,BR,-8.6533,-67.375,103285,-999,1975,2020,46,3.686160199,,,,,1975,2020,46,2067.252,65.19285907,631.193872,2,0.795183856,0
226,3634370,3,3341,RIO PURUS,SERINGAL DA CARIDADE,BR,-9.0439,-68.5772,63166,-999,1967,2019,53,9.620027291,1967,1993,27,3.594771242,1967,2019,53,1329.763,41.93540597,663.8920617,2,0.768203086,2
227,3634380,3,3341,RIO PURUS,MANOEL URBANO,BR,-8.8842,-69.2681,33693,-999,1981,2019,39,34.39252336,1981,1993,13,14.89361702,1981,2019,39,778.839,24.5614667,728.978325,2,0.869310263,8
229,3634450,3,3341,RIO CAETE,SERINGAL GUARANY,BR,-9.1103,-68.9933,6025,-999,1983,2020,38,22.77790072,,,,,1983,2020,38,134.095,4.22881992,701.8788249,2,0.681348203,0
230,3634500,3,3341,RIO MUCUIM,CRISTO,BR,-7.4647,-64.2433,6482,-999,1975,2019,45,27.89195176,1975,1989,15,4.761904762,1975,2019,45,257.262,8.113014432,1251.622097,2,0.859349697,0
231,3635030,3,3351,RIO MADERA,MANICORE,BR,-5.8167,-61.3019,1150000,-999,1967,2020,54,0.995409768,1967,1993,27,11.875,1967,2020,54,23840.189,751.8242003,653.7601742,2,0.837772375,0
232,3635035,3,3351,RIO MADERA,HUMAITA,BR,-7.5028,-63.0183,1090000,-999,1967,2020,54,0.907582201,,,,,1967,2020,54,22057.054,695.5912549,638.1571146,2,0.870401316,0
233,3635040,3,3351,RIO MADERA,PORTO VELHO,BR,-8.7483,-63.9169,976000,42.5,1967,2020,54,1.03402608,1970,1985,16,0,1967,2020,54,18859.81,594.7629682,609.388287,2,0.879963072,1
234,3635041,3,3351,RIO MADERA,ABUNA,BR,-9.7031,-65.3647,921000,74.65,1976,2020,45,17.14285714,,,,,1976,2020,45,18666.187,588.6568732,639.1496995,2,0.884448477,15
235,3635060,3,3351,RIO ABUNA,MORADA NOVA-JUSANTE,BR,-9.7847,-65.5275,31000,-999,1988,2020,33,2.595066804,,,,,1988,2020,33,631.382,19.91126275,642.2987985,2,0.77816684,0
236,3635301,3,3351,RIO JAMARI,ARIQUEMES,BR,-9.9256,-63.0714,8110,87.67,1970,2020,51,4.462374444,,,,,1970,2020,51,180.021,5.677142256,700.0175408,2,0.881174812,6
237,3635310,3,3351,RIO CANDEIAS,SANTA ISABEL,BR,-8.7986,-63.7106,12600,-999,1976,2020,45,1.440392277,,,,,1976,2020,45,349.058,11.00789309,873.6423086,2,0.534892538,0
238,3635402,3,3351,RIO JI-PARANA,TABAJARA,BR,-8.9322,-62.0556,60300,68.15,1977,2020,44,5.313223606,1978,1988,11,4.761904762,1977,2020,44,1439.947,45.41016859,753.0707893,2,0.671812499,3
239,3635408,3,3351,RIO JI-PARANA,JIPARANA (RONDONIA),BR,-10.8736,-61.9356,32800,129.6,1977,2020,44,3.698604418,1978,1991,14,17.28395062,1977,2020,44,731.211,23.0594701,703.0326249,2,0.641728501,0
240,3635410,3,3351,RIO JI-PARANA,SITIO BELA VISTA,BR,-11.6525,-61.215,16100,-999,1984,2020,37,17.78290993,1985,1988,4,40.54054054,1984,2020,37,375.481,11.84116882,735.476324,2,0.423643606,16
241,3635440,3,3351,RIO APIDIA,PIMENTA BUENO,BR,-11.6836,-61.1922,10100,-999,1980,2019,40,4.268334593,,,,,1980,2019,40,230.245,7.26100632,718.9115168,2,0.191063811,0
242,3635600,3,3351,RIO ARIPUANA,HUMBOLDT,BR,-10.1675,-59.4644,15200,181,1979,2019,41,4.663494222,1979,1984,6,32.30769231,1979,2019,41,297.172,9.371616192,616.5536968,2,0.004693554,0
243,3635650,3,3351,RIO ARIPUANA,PRAINHA VELHA,BR,-7.2078,-60.65,131000,107,1974,2019,46,0.524475524,1974,1984,11,0,1974,2019,46,3320.262,104.7077824,799.2960491,2,0.693551904,2
244,3635651,3,3351,RIO ARIPUANA,BOCA DO GUARIBA,BR,-7.7067,-60.5867,70100,60,1977,2019,43,0.281045752,,,,,1977,2019,43,1432.718,45.18219485,644.5391562,2,0.429527706,0
245,3635660,3,3351,RIO GUARIBE,LEONTINO,BR,-7.7394,-60.5761,16300,-999,1984,2019,36,12.88966993,,,,,1984,2019,36,439.101,13.84748914,849.5392108,2,0.016887034,0
246,3636201,3,3361,RIO TROMBETAS,CARAMUJO,BR,-1.065,-57.0614,50650,-999,1986,2020,35,19.01753278,,,,,1986,2020,35,1887.731,59.53148482,1175.350144,2,0.008156523,0
247,3636202,3,3361,RIO TROMBETAS,GARGANTA,BR,-0.9978,-57.0431,37910,-999,1986,2020,35,25.91243765,,,,,1986,2020,35,1454.704,45.87554534,1210.11726,2,0.238667204,17
248,3637180,3,3371,RIO TAPAJOS,BARRA DO SAO MANUEL-JUSANTE,BR,-7.3397,-58.1553,333000,-999,1975,2019,45,7.589006871,1975,1994,20,17.82608696,1975,2019,45,8477.169,267.3360016,802.8108156,2,0.856620411,0
249,3637380,3,3371,RIO JURUENA,FONTANILHAS,BR,-11.3583,-58.3428,55900,247,1978,2020,43,2.856957761,1978,1995,18,0,1978,2020,43,1435.223,45.26119253,809.6814406,2,0.038266151,0
250,3637771,3,3371,RIO SAO MANOEL,JUSANTE FOZ PEIXOTO DE AZEVEDO,BR,-9.6425,-56.0183,81600,233,1980,2020,41,11.68536233,,,,,1980,2020,41,2067.231,65.19219682,798.9239806,2,0.401072879,0
251,3637772,3,3371,RIO SAO MANOEL,INDECO,BR,-10.1125,-55.57,52200,245,1975,2019,45,4.649713288,,,,,1975,2019,45,1183.392,37.31945011,714.9319945,2,0.46840472,0
252,3637773,3,3371,RIO SAO MANOEL,CACHOEIRAO,BR,-11.6458,-55.7017,34600,317,1975,2019,45,6.772707189,,,,,1975,2019,45,821.305,25.90067448,748.5744069,2,0.511011418,0
253,3637774,3,3371,RIO SAO MANOEL,TELES PIRES,BR,-12.6742,-55.7917,13900,323,1976,2020,45,10.81265933,,,,,1976,2020,45,342.664,10.8062519,777.4281945,2,0.328880837,0
254,3637775,3,3371,RIO SAO MANOEL,PORTO RONCARDO,BR,-13.5564,-55.3317,10800,358,1973,2020,48,2.61954993,,,,,1973,2020,48,259.327,8.178136272,757.23484,2,0.276087873,3
255,3637790,3,3371,RIO SAO MANOEL,TRES MARIAS,BR,-7.6147,-57.9503,138000,129,1975,2019,45,7.544101088,1975,1995,21,35.04273504,1975,2019,45,3779.96,119.2048186,863.803033,2,0.322189357,0
256,3637900,3,3371,RIO DO SANGUE,FAZENDA TOMBADOR,BR,-11.7644,-58.0364,24700,256,1984,2020,37,6.080147398,1984,1995,12,0,1984,2020,37,524.24,16.53243264,669.3292567,2,0.019033291,2
257,3637910,3,3371,RIO ARINOS,PORTO DOS GAUCHOS,BR,-11.5364,-57.4228,37100,237,1973,2020,48,1.262329732,,,,,1973,2020,48,737.983,23.27303189,627.3054417,2,0.050702351,0
258,3638010,3,3381,RIO BACAJA,FAZENDA CIPAUBA,BR,-3.7314,-51.5675,24575,-999,1977,2019,43,39.7342758,,,,,1977,2019,43,320.085,10.09420056,410.7507858,2,0.453986874,0
259,3638050,3,3381,RIO XINGU,ALTAMIRA,BR,-3.2147,-52.2122,446203,-999,1968,2020,53,9.364319891,1971,1998,28,3.416149068,1968,2020,53,8043.404,253.6567885,568.4784471,2,0.658067399,17
260,3638051,3,3381,RIO XINGU,BOA SORTE,BR,-6.7358,-51.9953,206863,-999,1977,2020,44,7.2541166,,,,,1977,2020,44,3616.051,114.0357843,551.262354,2,0.230863279,6
261,3638120,3,3381,RIO IRIRI,PEDRA DO O,BR,-4.5278,-54.0125,123827,-999,1976,2020,45,26.68590427,1976,1995,20,13.39285714,1976,2020,45,2563.308,80.83648109,652.8178918,2,0.081339566,14
263,3638200,3,3381,RIO FRESCO,BOA ESPERANCA,BR,-6.7453,-51.7736,43030,-999,1975,2020,46,15.29273425,,,,,1975,2020,46,888.741,28.02733618,651.3440896,2,0.063986437,11
264,3638210,3,3381,RIO CURUA,CAJUEIRO,BR,-5.65,-54.5208,35213,-999,1975,2019,45,9.630598642,1975,1998,24,10.11235955,1975,2019,45,832.037,26.23911883,745.1543132,2,0.35971477,2
265,3649150,3,3491,RIO PARANA,NOVA ROMA (FAZ. SUCURI),BR,-13.7625,-46.8375,22834,-999,1970,2020,51,2.582883577,,,,,1970,2020,51,185.943,5.863898448,256.8055727,2,0.270877846,3
266,3649151,3,3491,RIO PARANA,FLORES DE GOIAS,BR,-14.4508,-47.0472,7277,-999,1975,2020,46,3.653273357,,,,,1975,2020,46,59.837,1.887019632,259.3128531,2,0.195913834,0
267,3649210,3,3491,RIO SANTA TERESA,COLONHA,BR,-12.3878,-48.7106,8690,259,1974,2020,47,8.539352681,1974,1984,11,15.12605042,1974,2020,47,103.368,3.259813248,375.122353,2,0.309477245,1
268,3649211,3,3491,RIO SANTA TERESA,JACINTO,BR,-11.9825,-48.6575,13811,237,1971,2020,50,6.28346013,1971,1991,21,12.5,1971,2020,50,153.545,4.84219512,350.6042372,2,0.074523086,3
269,3649240,3,3491,RIO MANUEL ALVES DA NATIVIDADE,FAZENDA LOBEIRA,BR,-11.5314,-48.2947,14475,243,1969,2020,52,2.710697574,1969,1992,24,11.0701107,1969,2020,52,179.966,5.675407776,392.0834388,2,0.098877019,0
270,3649251,3,3491,RIO TOCANTINS,PEIXE,BR,-12.0231,-48.5328,130052,235,1970,2020,51,1.137493098,,,,,1970,2020,51,1578.63,49.78367568,382.7982321,2,0.271157351,0
271,3649310,3,3491,RIO MANUEL ALVES GRANDE,GOIATINS,BR,-7.7078,-47.3117,9636,189,1971,2020,50,2.303446722,1971,1984,14,11.9205298,1971,2020,50,153.948,4.854904128,503.8298182,2,0.073569902,0
272,3649315,3,3491,"VERMELHO, RIO",JACARE,BR,-7.9633,-47.2611,5069,198,1984,2019,36,0.007668712,,,,,1984,2019,36,76.169,2.402065584,473.8736603,2,0.069288877,0
273,3649320,3,3491,RIO DO SONO,PORTO REAL,BR,-9.3069,-47.9292,44910,200,1969,2019,51,0.431505353,,,,,1969,2019,51,709.02,22.35965472,497.8769699,2,0.278887379,0
274,3649321,3,3491,RIO DO SONO,NOVO ACORDO,BR,-9.9633,-47.6747,18500,180,1971,2020,50,1.212155381,,,,,1971,2020,50,297.66,9.38700576,507.4057168,2,0.26763064,6
275,3649322,3,3491,RIO DO SONO,JATOBA (FAZENDA BOA NOVA),BR,-9.9953,-47.4725,13855,200,1973,2020,48,1.070825816,,,,,1973,2020,48,285.261,8.995990896,649.2956258,2,0.318581323,6
276,3649409,3,3491,RIO ARAGUAIA,SAO FELIX DO ARAGUAIA,BR,-11.6181,-50.6625,193923,226,1973,2020,48,0.24829657,,,,,1973,2020,48,2604.855,82.14670728,423.6047673,2,0.91277913,0
277,3649411,3,3491,RIO ARAGUAIA,TORIXOREU,BR,-16.2006,-52.5497,19100,314,1971,2020,50,1.82040182,,,,,1971,2020,50,342.316,10.79527738,565.1977684,2,0.529399927,6
278,3649412,3,3491,RIO ARAGUAIA,ARAGUAIANA,BR,-15.7381,-51.8281,50930,278,1974,2020,47,0.153094271,1974,1986,13,2.054794521,1974,2020,47,849.619,26.79358478,526.086487,2,0.466132741,0
279,3649416,3,3491,RIO ARAGUAIA,CONCEICAO DO ARAGUAIA,BR,-8.2694,-49.2594,320290,141,1969,2020,52,0.058482641,1969,1987,19,0,1969,2020,52,4739.667,149.4701385,466.671262,2,0.771426876,0
280,3649418,3,3491,RIO ARAGUAIA,XAMBIOA,BR,-6.4097,-48.5422,364500,118,1969,2019,51,0.016132502,1969,1987,19,4.245283019,1969,2019,51,5386.047,169.8543782,465.9928071,2,0.828636924,0
281,3649419,3,3491,RIO ARAGUAIA,ARAGUATINS,BR,-5.6344,-48.1297,376660,98,1974,2020,47,0.437300555,1974,1987,14,9.74025974,1974,2020,47,5915.523,186.5519333,495.2793855,2,0.115937666,1
282,3649421,3,3491,RIO ARAGUAIA,ARUANA,BR,-14.9019,-51.0819,76964,237,1969,2020,52,0.481341266,,,,,1969,2020,52,1178.94,37.17905184,483.0706803,2,0.613011965,0
283,3649422,3,3491,RIO ARAGUAIA,BARRA DO GARCAS,BR,-15.8914,-52.2278,36800,-999,1970,2020,51,1.257861635,,,,,1970,2020,51,636.255,20.06493768,545.2428717,2,0.445957287,0
284,3649424,3,3491,RIO ARAGUAIA,BANDEIRANTES,BR,-13.6897,-50.8,92638,276,1974,2020,47,0.924453866,,,,,1974,2020,47,1347.463,42.49359317,458.7058569,2,0.750806022,2
285,3649449,3,3491,RIO CLARO,MONTES CLAROS DE GOIAS,BR,-15.5722,-51.6344,9045,-999,1971,2019,49,0.588697017,1971,1987,17,10.3626943,1971,2019,49,128.323,4.046794128,447.4067582,2,0.555847321,0
286,3649450,3,3491,RIO CAIAPO,SAO FERREIRA,BR,-16.3025,-51.4692,6471,-999,1974,2019,46,0,1974,1987,14,0,1974,2019,46,110.359,3.480281424,537.8274492,2,0.36220336,0
287,3649459,3,3491,RIO CAIAPO,PERES,BR,-15.8897,-51.8528,12084,-999,1971,2019,49,8.086482806,1971,1987,17,4.663212435,1971,2019,49,202.883,6.398118288,529.4702324,2,0.876378996,5
288,3649460,3,3491,RIO JAVAES,BARREIRA DA CRUZ,BR,-10.5647,-49.9342,40327,220,1969,2019,51,11.99352576,,,,,1969,2019,51,682.56,21.52521216,533.7667607,2,0.653935942,0
289,3649510,3,3491,RIO VERMELHO,TRAVESSAO,BR,-15.5189,-50.7047,5370,-999,1974,2020,47,0.671259495,1974,1987,14,4.320987654,1974,2020,47,76.554,2.414206944,449.5729877,2,0.587911985,0
290,3649614,3,3491,RIO DAS MORTES,TORIQUEJE,BR,-15.2486,-53.0553,17160,339,1967,2019,53,0.660746379,1968,1986,19,3.947368421,1967,2019,53,361.502,11.40032707,664.3547245,2,0.827043763,0
291,3649617,3,3491,RIO DAS MORTES,XAVANTINA,BR,-14.6725,-52.355,24950,266,1969,2020,52,0.329629433,,,,,1969,2020,52,496.399,15.65443886,627.4324194,2,0.509806062,0
292,3649618,3,3491,RIO DAS MORTES,TRECHO MEDO,BR,-14.0867,-51.6964,44320,232,1980,2020,41,0.88741363,,,,,1980,2020,41,711.412,22.43508883,506.206878,2,0.627140366,1
293,3649619,3,3491,RIO DAS MORTES,SANTO ANTONIO DO LEVERGER,BR,-12.2919,-50.9636,59163,205,1969,2020,52,0.175728207,1969,1986,18,11.11111111,1969,2020,52,874.359,27.57378542,466.0646929,2,0.946839751,1
294,3649640,3,3491,RIO CRIXAS-ACU,JUSANTE DO RIO PINTADO,BR,-13.5614,-50.4011,18600,-999,1980,2019,40,11.99659671,,,,,1980,2019,40,187.809,5.922744624,318.4271303,2,0.749088503,3
295,3649901,3,3491,RIO TOCANTINS,MARABA,BR,-5.3386,-49.1244,690920,69.77,1971,2020,50,0.346989031,,,,,1971,2020,50,10194.186,321.4838497,465.2982251,2,0.70635316,1
296,3649902,3,3491,RIO TOCANTINS,DESCARRETO,BR,-5.7894,-47.4689,298559,114,1973,2019,47,0.12277112,,,,,1973,2019,47,4396.288,138.6413384,464.3683103,2,0.395230548,0
